wallet,target_slug,target_buy_usdc,target_pnl,target_roi,history_match_count,hist_mean_buy_usdc,hist_median_buy_usdc,hist_std_buy_usdc,hist_min_buy_usdc,hist_max_buy_usdc,ratio_vs_mean,ratio_vs_median,ratio_vs_hist_max,zscore,target_trade_count,target_first_time,target_last_time,history_slugs
0x04b1e3aff4fed7a6868757761db7486ddb6cd224,lol-wb-tes-2026-03-02,22026.0262,3560.782721,0.161663,5,257.24916,160.0,211.252163,1.25,580.0,85.621373,137.662664,37.975907,103.04641,158,2026-03-02 20:55:37,2026-03-02 21:33:55,lol-tes-al-2026-01-24|lol-tes-blg-2026-01-18|lol-tes-wb-2026-01-19|lol-tes-we-2026-02-28|lol-wb-tes-2026-01-27
0x5bc1f038c4cd8344bc97f542bf90b9babb5d9932,lol-wb-tes-2026-03-02,9505.691894,7117.406313,0.748752,4,85.0911,82.314999,36.100495,40.0,135.7344,111.711941,115.479462,70.031561,260.954889,94,2026-03-02 18:19:45,2026-03-02 21:24:13,lol-al-tes-2026-02-01|lol-tes-al-2026-01-24|lol-tes-wb-2026-01-19|lol-wb-tes-2026-01-27
0x93bc1f104bc72c9141fc41c2acb2265f54a28ca3,lol-wb-tes-2026-03-02,21768.302125,4301.062227,0.197584,5,787.877173,197.929484,961.227386,0.335629,2459.969497,27.629055,109.980088,8.849013,21.826703,154,2026-03-02 13:37:31,2026-03-02 20:55:35,lol-al-tes-2026-02-01|lol-tes-al-2026-01-24|lol-tes-jdg-2026-01-14|lol-tes-wb-2026-01-19|lol-tes-we-2026-02-28
0x6c3dc42ff18ca457e4b3a6d4bffccd3363075d2f,lol-wb-tes-2026-03-02,1118.728794,300.000872,0.268162,2,11.250796,11.250796,0.555601,10.695195,11.806397,99.435524,99.435524,94.756156,1993.297345,23,2026-03-01 22:22:17,2026-03-02 21:28:59,lol-tes-we-2026-02-10|lol-wb-tes-2026-01-27
0x4a141aada02119aa0231e50fa8804ea65456045c,lol-wb-tes-2026-03-02,5891.976421,1994.259169,0.33847,4,1155.312374,67.811599,1911.84357,19.2,4466.426296,5.099899,86.887442,1.31917,2.477537,36,2026-03-02 07:45:49,2026-03-02 21:00:11,lol-tes-al-2026-01-24|lol-tes-jdg-2026-01-14|lol-tes-we-2026-02-28|lol-wb-tes-2026-01-27
0xf360e2e2e385fadb6238fa686a3de231b3ca6726,lol-wb-tes-2026-03-02,714.059998,209.974386,0.294057,2,8.5,8.5,3.5,5.0,12.0,84.007059,84.007059,59.505,201.588571,9,2026-03-02 17:41:27,2026-03-02 20:06:45,lol-tes-al-2026-01-24|lol-tes-wb-2026-01-19
0xe2e10f790c159bfbd5d74ba0d38fcc19dcf8c20a,lol-wb-tes-2026-03-02,2215.7195,-285.0406,-0.128645,3,117.826398,27.0392,139.568153,11.44,314.999994,18.80495,81.944714,7.03403,15.031317,188,2026-03-02 13:12:39,2026-03-02 21:26:27,lol-al-tes-2026-02-01|lol-tes-we-2026-02-28|lol-wb-tes-2026-01-27
0xad72ffe37df00548959c2f86f0333e7c958e4f5e,lol-wb-tes-2026-03-02,1400.0,854.462,0.61033,2,20.082,20.082,11.632,8.45,31.714,69.714172,69.714172,44.144542,118.63119,16,2026-03-02 21:16:47,2026-03-02 21:24:03,lol-tes-al-2026-01-24|lol-wb-tes-2026-01-27
0xee0e6d442076391dc6b0093296f1900cf41138bb,lol-wb-tes-2026-03-02,718.8538,-571.2052,-0.794606,6,244.092792,10.879198,475.53027,0.0988,1301.699558,2.945002,66.075989,0.552242,0.998382,5,2026-03-02 20:58:09,2026-03-02 20:58:09,lol-tes-al-2026-01-24|lol-tes-blg-2026-01-18|lol-tes-jdg-2026-01-14|lol-tes-wb-2026-01-19|lol-tes-we-2026-02-10|lol-wb-tes-2026-01-27
0x27753c9c8dcdec6f35e30c3dc64fcd0797d93652,lol-wb-tes-2026-03-02,15581.767589,18812.326141,1.207329,3,419.128159,276.186281,221.180886,249.648499,731.549697,37.176618,56.417602,21.299671,68.553118,92,2026-03-02 19:10:47,2026-03-02 22:16:37,lol-al-tes-2026-02-01|lol-tes-we-2026-02-10|lol-tes-we-2026-02-28
0xd50fd0df41896fe99bb804c50acb74cc0a592b9a,lol-wb-tes-2026-03-02,2300.0,-2300.0,-1.0,2,41.299782,41.299782,38.699973,2.599809,79.999756,55.690366,55.690366,28.750088,58.364387,1,2026-03-02 15:08:17,2026-03-02 15:08:17,lol-tes-al-2026-01-24|lol-tes-we-2026-02-10
0xd857498ba60ab87e9d5fd036483eaa07681dc092,lol-wb-tes-2026-03-02,5524.736698,2124.167974,0.384483,2,119.999999,119.999999,119.0,0.999999,238.999998,46.039473,46.039473,23.116053,45.417956,65,2026-02-28 23:53:59,2026-03-02 19:59:11,lol-al-tes-2026-02-01|lol-wb-tes-2026-01-27
0x404c869254bb075026408ba8f7980031f574780a,lol-wb-tes-2026-03-02,64.79999,-0.83911,-0.012949,2,1.499999,1.499999,0.499999,0.999999,1.999998,43.200037,43.200037,32.400027,126.60011,10,2026-03-02 18:26:35,2026-03-02 21:26:03,lol-al-tes-2026-02-01|lol-tes-we-2026-02-10
0x6ac5bb06a9eb05641fd5e82640268b92f3ab4b6e,lol-wb-tes-2026-03-02,8555.038218,-3437.008218,-0.401753,5,396.178589,210.92,337.241524,51.21,876.637905,21.593893,40.560583,9.758919,24.192927,19,2026-03-01 00:12:31,2026-03-02 16:59:31,lol-tes-al-2026-01-24|lol-tes-blg-2026-01-18|lol-tes-jdg-2026-01-14|lol-tes-wb-2026-01-19|lol-tes-we-2026-02-28
0xbf982860a233f6932be6a82efd13e3a2f37fd0bf,lol-wb-tes-2026-03-02,257.903996,277.426541,1.075697,3,12.419964,7.0499,8.347822,5.999998,24.209995,20.765277,36.582646,10.65279,29.406957,14,2026-03-02 17:33:43,2026-03-02 21:41:51,lol-al-tes-2026-02-01|lol-tes-blg-2026-01-18|lol-wb-tes-2026-01-27
0xd218e474776403a330142299f7796e8ba32eb5c9,lol-wb-tes-2026-03-02,5002.668497,-1590.068011,-0.317844,4,1980.759491,150.080735,3219.469353,66.399105,7556.477391,2.525631,33.333182,0.662037,0.938636,76,2026-03-02 17:22:25,2026-03-02 21:27:07,lol-al-tes-2026-02-01|lol-tes-jdg-2026-01-14|lol-tes-we-2026-02-10|lol-tes-we-2026-02-28
0xa4697a5b38a3da3d7bb70f13eedfa5611bf10782,lol-wb-tes-2026-03-02,5591.822196,5918.783604,1.058471,2,185.448966,185.448966,44.548817,140.900149,229.997784,30.15289,30.15289,24.312505,121.3584,18,2026-03-02 20:59:13,2026-03-02 21:26:37,lol-tes-wb-2026-01-19|lol-wb-tes-2026-01-27
0x87256d0406f876184a66cc158415903bb242eb10,lol-wb-tes-2026-03-02,1378.53,2204.43,1.599116,4,164.473986,45.87,221.748378,19.28,546.875946,8.381447,30.052976,2.520736,5.474926,3,2026-03-02 13:53:27,2026-03-02 15:01:17,lol-tes-al-2026-01-24|lol-tes-we-2026-02-10|lol-tes-we-2026-02-28|lol-wb-tes-2026-01-27
0xf45992cc7edf5387604cd0c04dfaf715baf17a53,lol-wb-tes-2026-03-02,3477.719496,216.961182,0.062386,2,118.479998,118.479998,98.479999,19.999999,216.959996,29.352799,29.352799,16.029312,34.110881,27,2026-03-02 21:16:51,2026-03-02 21:24:59,lol-tes-wb-2026-01-19|lol-wb-tes-2026-01-27
0x344be5d62f3dc2f412395ebbd45ac89f8bf0f7fc,lol-wb-tes-2026-03-02,1793.6468,-239.1068,-0.133308,3,556.507333,63.07,721.314705,30.03,1576.422,3.223043,28.438985,1.137796,1.715117,157,2026-03-02 13:12:57,2026-03-02 21:26:27,lol-tes-wb-2026-01-19|lol-tes-we-2026-02-28|lol-wb-tes-2026-01-27
0x82a0d4f35d63474c827216f7281d22c7cf0214b3,lol-wb-tes-2026-03-02,1874.407839,-1608.669535,-0.858228,3,67.265279,70.295836,50.464183,4.0,127.5,27.865905,26.664564,14.701238,35.810399,20,2026-03-02 10:55:13,2026-03-02 20:26:11,lol-al-tes-2026-02-01|lol-tes-we-2026-02-28|lol-wb-tes-2026-01-27
0x383d49468784965cfd51dd79b39d46ef966387ea,lol-wb-tes-2026-03-02,69.199988,-37.465296,-0.541406,3,17.506663,2.999998,21.58487,1.499999,48.019991,3.95278,23.066678,1.441066,2.394887,20,2026-03-01 08:48:07,2026-03-02 21:18:21,lol-tes-al-2026-01-24|lol-tes-we-2026-02-28|lol-wb-tes-2026-01-27
